SKU,Description,Location Fixed,Location Inventory,Warehouse Fixed,Nr of Picks,Nr of Picks Total Window,Quantity,Std Unit Cost,Extended Std Cost,Demand 180 Days,Actual Locations,Number of Registered Locations,Has Bulk Location,Registered Actual Location Count,Registered Location Types,Has Ground Level,Has Hand Pick,Has Highest Level
ASM4022_671_87112-LF,WH PAS WHR ETHERNET BOX ASSY,A0903,A0903,A0000N,0,0,2.0,1707.0,3414.0,2.0,A0903,1,False,1,Pallet,False,False,False
ASM4022_671_89611-LF,NXE SR TFDB MECH RACK,LZKL,LZKL,A0000N,2,2,3.0,4757.55,14272.65,2.0,LZKL,1,True,1,,False,False,False
ASM4022_671_98702-LF,NXE SR TFDB BRACKET ASSY,LZKL,LZKL,A0000N,2,2,6.0,307.17,1843.02,2.0,LZKL,1,True,1,,False,False,False
ASM4022_673_84912-LF,DC SUB ASSY PCB FRAME,HZKH,HZKH,A0000N,4,4,28.0,249.87,6996.36,35.0,HZKH,1,True,1,,False,False,False
ASM4022_677_24795-P,PDU PANEL1 WIRE SET,EZKE,EZKE,A0000N,43,43,5.0,1130.87,5654.35,42.0,EZKE,1,True,1,,False,False,False
ASM4022_677_24811-P,PDU CP2 WIRE SET,F0202,F0202,A0000N,23,23,15.0,175.707,2635.61,40.0,F0202,1,False,1,Legbord,False,True,False
ASM4022_677_24832-P,PDU MK2.3 PANEL2 WIRE SET,F0002,F0002,A0000N,0,0,7.0,411.12,2877.84,42.0,F0002,1,False,1,Legbord,False,True,False
ASM4022_677_24852-P,WIRE LIST_PDU CP3 WIRE SET,F0302,F0302,A0000N,23,23,7.0,178.731,1251.12,42.0,F0302,1,False,1,Legbord,False,True,False
ASM4022_677_24871-P,WIRE SET PDU MK2.3 PANEL3,F0202,F0202,A0000N,42,42,9.0,700.7805,6307.02,40.0,F0202,1,False,1,Legbord,False,True,False
ASM4022_677_25082-P,PDU MK2.3 PANEL4 WIRE SET,D1002,D1002,A0000N,41,41,5.0,1217.1705,6085.85,40.0,D1002,1,False,1,Legbord,False,True,False
